번호,주택유형,공고명,지역,공고게시일,마감일,공고상태
59077532.0,영구임대,인천검단 AA10-2블록 영구임대주택 예비입주자 모집공고('24.10.24),인천광역시,2024.10.24,2024.11.06,접수마감
59280511.0,국민임대,청원오송1 국민임대주택 자격완화 입주자 및 예비입주자 모집,충청북도,2024.10.24,2024.11.07,접수마감
59145276.0,국민임대,고령디오팰리스 국민임대주택 입주자격완화 상시모집공고,경상북도,2024.10.22,2024.12.27,공고중
59120019.0,행복주택,강화신문1 행복주택 예비입주자 모집공고(2024.10.22.),인천광역시,2024.10.22,2024.11.05,접수마감
59097795.0,국민임대,고창무장 국민임대주택 입주자격완화 추가모집(동호지정·선계약후검증),전북특별자치도,2024.10.22,2024.11.05,접수마감
59150224.0,국민임대,고창무장 국민임대주택 입주자격완화 추가모집(동호지정·선계약후검증),전북특별자치도,2024.10.22,2024.11.05,접수마감
59166702.0,국민임대,보령웅천 국민임대주택 입주자격완화 추가입주자 모집(2024.10.25),충청남도,2024.10.22,2024.11.06,접수마감
59115104.0,행복주택,나주이창 행복주택 입주자격완화 예비입주자모집(2024.10.21),전라남도,2024.10.21,2024.11.04,접수마감
59120503.0,행복주택,24년 10월 인천시(남동구) 행복주택 입주자격완화 예비입주자 모집,인천광역시,2024.10.21,2024.10.23,접수마감
59111658.0,행복주택,"[입주자격완화] 화성향남2 A-21, A-22블록 행복주택 입주자격완화 추가모집 공고(소득 및 기간요건 완화)",경기도,2024.10.18,2024.10.31,접수마감
59044773.0,공공임대,부산 해운대자이2차 10년 공공임대주택 예비입주자 모집공고,부산광역시,2024.10.18,2024.10.31,접수마감
59153972.0,행복주택,"아산탕정2-A9,14BL 행복주택[주거약자형주택] 자격완화 추가입주자 모집",충청남도,2024.10.18,2024.10.30,접수마감
59108626.0,행복주택,"아산탕정2-A9,14BL 행복주택 자격완화 추가입주자 모집",충청남도,2024.10.18,2024.10.30,접수마감
59108622.0,행복주택,"아산탕정2-A9,14BL 행복주택 자격완화 추가입주자 모집",충청남도,2024.10.18,2024.10.30,접수마감
59113147.0,행복주택,"광주효천3,효천7,진월8 행복주택 입주자격완화 예비입주자 모집(2024.10.18. 공고)",광주광역시,2024.10.18,2024.10.31,접수마감
59075252.0,국민임대,군산미룡1 국민임대주택 예비입주자 모집 공고,전북특별자치도,2024.10.18,2024.10.31,접수마감
59006301.0,행복주택,광주하남. 우산. 도산.영광단주 행복주택 입주자격완화 예비입주자 모집,광주광역시 외,2024.10.18,2024.10.30,접수마감
59083967.0,행복주택,"김제대검산 행복주택 입주자격완화 입주자(예비자) 모집(온라인신청, 동호지정, 선계약후검증, 1인가구 신청가능)",전북특별자치도,2024.10.17,2024.10.30,접수마감
59078722.0,영구임대,[정정공고]보령명천2 영구임대 예비입주자 모집,충청남도,2024.10.17,2024.06.19,접수마감
59016177.0,영구임대,경주용강 영구임대주택 예비입주자 모집,경상북도,2024.10.17,2024.11.01,접수마감
59058386.0,국민임대,인천옹진백령 국민임대주택 예비입주자 모집 공고(선계약후검증),인천광역시,2024.10.17,2024.10.30,접수마감
59068776.0,국민임대,완주삼례2 국민임대주택 입주자격완화 예비자 모집 공고,전북특별자치도,2024.10.17,2024.10.30,접수마감
59076737.0,공공임대,내포신도시 RH-7 선착순 동호지정 모집공고,전국,2024.10.16,2024.10.31,접수마감
59068255.0,국민임대,"[정정공고]경주시,영천시,포항시 부도매입(국민임대)주택 입주자격완화 모집공고",경상북도,2024.10.16,2024.11.29,공고중
59069486.0,행복주택,"[정정공고]구리시, 남양주시 지역 행복주택 예비입주자 모집",경기도,2024.10.16,2024.10.17,접수마감
59051613.0,행복주택,밀양가곡 1BL 행복주택 입주자모집 공고,경상남도,2024.10.15,2024.10.31,접수마감
59045678.0,행복주택,강릉유천 행복주택 예비입주자 모집(24.10.15 공고),강원특별자치도,2024.10.15,2024.10.29,접수마감
59038974.0,행복주택,"구미시,김천시 행복주택 면적기준 완화 예비입주자 모집",경상북도,2024.10.15,2024.10.30,접수마감
59006245.0,행복주택,원주시지역 행복주택 예비입주자 모집,강원특별자치도,2024.10.15,2024.10.30,접수마감
58908048.0,영구임대,청주시 영구임대주택 예비입주자 모집(2024.10.15.),충청북도,2024.10.15,2024.11.08,접수마감
59147385.0,행복주택,김포시 행복주택 입주자격완화 예비입주자 모집[선계약후검증],경기도,2024.10.14,2024.10.31,접수마감
59024109.0,행복주택,양주회천 A-15BL 행복주택 입주자격완화 추가 및 예비입주자 모집공고,경기도,2024.10.11,2024.10.25,접수마감
58996530.0,국민임대,"화성시 지역 국민임대주택 예비입주자 모집 공고(입주자격완화, 선계약후검증)",경기도,2024.10.11,2024.10.30,접수마감
59072210.0,국민임대,김포시 국민임대주택 입주자격완화 예비입주자 모집[선계약후검증],경기도,2024.10.11,2024.10.23,접수마감
58997415.0,국민임대,서대구영무예다음 국민임대주택 입주자(당해 사업지구 철거민) 모집,대구광역시,2024.10.11,2024.10.22,접수마감
58997031.0,국민임대,안성금화 국민임대주택 입주자격완화 예비입주자 모집공고(2024.10.11),경기도,2024.10.11,2024.10.23,접수마감
59166246.0,영구임대,광주효천2 1단지(A-2BL) 영구임대주택 예비입주자 모집,광주광역시,2024.10.11,2024.10.31,접수마감
59011958.0,공공임대,익산평화 공공임대(5년)주택 입주자 추가모집공고,전북특별자치도,2024.10.11,2024.10.24,접수마감
58987695.0,국민임대,익산한스빌 국민임대주택 예비입주자 완화 모집공고,전북특별자치도,2024.10.11,2024.10.30,접수마감
59009169.0,국민임대,"양산사송 A-4BL 국민임대주택 입주자격완화·선계약후검증 입주자 추가모집(37형, 동호추첨)",경상남도,2024.10.10,2024.10.22,접수마감
59050792.0,행복주택,완주삼례 A-1 행복주택(삼례아리따운) 입주자격완화 추가모집(동호지정·선계약후검증),전북특별자치도,2024.10.10,2024.10.25,접수마감
59050785.0,행복주택,완주삼례 A-1 행복주택(삼례아리따운) 입주자격완화 추가모집(동호지정·선계약후검증),전북특별자치도,2024.10.10,2024.10.25,접수마감
58998029.0,공공임대,부산시 재개발 임대주택(10년 공공임대) 예비입주자 모집(대신롯데캐슬외 4개 단지),부산광역시,2024.10.10,2024.10.23,접수마감
59000429.0,공공임대,양산물금 LH5단지(양산물금2 41BL) 10년 공공임대 예비입주자 모집,경상남도,2024.10.10,2024.11.05,접수마감
59003933.0,행복주택,[정정공고]인천시 중부권 행복주택 예비 입주자 모집공고 (2024.10.04.),인천광역시,2024.10.10,2024.10.22,접수마감
58959781.0,국민임대,김제하동 국민임대주택 입주자격완화 모집공고,전북특별자치도,2024.10.10,2024.10.31,접수마감
58973329.0,국민임대,"정읍첨단 국민임대주택 입주자 모집(온라인신청, 동호지정, 선계약후검증, 1인가구 신청가능)",전북특별자치도,2024.10.08,2024.10.20,접수마감
58959669.0,영구임대,광주각화 영국임대주택 청년활동가 예비입주자 모집공고(공고일24.10.08),광주광역시,2024.10.08,2024.10.25,접수마감
58964022.0,행복주택,[정정공고]시흥시 행복주택 예비입주자 모집,경기도,2024.10.07,2024.10.24,접수마감
58950450.0,공공임대,부산만덕5 2블럭 10년 분양전환공공임대주택(e편한세상 금정산) 예비입주자 모집공고,부산광역시,2024.10.07,2024.10.17,접수마감
58951688.0,공공임대,[정정공고]나주빛가람 1단지(B9BL) 10년 공공임대주택 예비입주자 모집(2024.09.27),전라남도,2024.10.07,2024.10.08,접수마감
58951835.0,공공임대,[정정공고]광주효천6(효천2지구 A-1블록) 10년 공공임대주택 예비입주자 모집(2024.09.27),광주광역시,2024.10.07,2024.10.08,접수마감
58945682.0,행복주택,[정정공고]양주옥정 A-25BL 행복주택 26형 입주자격완화 동호지정 상시모집,경기도,2024.10.04,2024.10.02,접수마감
58858519.0,행복주택,시흥시 행복주택 예비입주자 모집,경기도,2024.10.04,2024.10.24,접수마감
58879221.0,행복주택,인천시 중부권 행복주택 예비 입주자 모집공고 (2024.10.04.),인천광역시,2024.10.04,2024.10.22,접수마감
58941091.0,국민임대,[정정공고]청주시지역 국민임대주택 예비입주자 모집,충청북도,2024.10.04,2024.09.25,접수마감
58924189.0,행복주택,강화신문 2단지 행복주택 추가입주자 모집,인천광역시,2024.10.02,2024.10.16,접수마감
58924092.0,국민임대,강화신문 2단지 국민임대 추가 입주자 모집,인천광역시,2024.10.02,2024.10.16,접수마감
58921807.0,국민임대,"[정정공고]김제교동 국민임대주택 입주자 모집(온라인신청, 동호지정, 선계약후검증, 1인가구 신청가능)",전북특별자치도,2024.10.01,2024.10.08,접수마감
58897362.0,국민임대,양주시 관내 중소기업체 근로자기숙사용 건설임대주택 기업체 모집 공고,경기도,2024.09.30,2024.10.16,접수마감
58823590.0,영구임대,창원시 영구임대주택 예비입주자(면적완화) 모집 공고('24.09.30),경상남도,2024.09.30,2024.10.16,접수마감
58859288.0,국민임대,김포시 국민임대주택 예비입주자 모집[선계약후검증],경기도,2024.09.30,2024.10.16,접수마감
58791415.0,공공임대,광주동림2 - 50년공공임대주택 예비입주자 모집 공고,광주광역시,2024.09.30,2024.10.11,접수마감
58880948.0,행복주택,"구리시, 남양주시 지역 행복주택 예비입주자 모집",경기도,2024.09.27,2024.10.17,접수마감
58890580.0,국민임대,"김제교동 국민임대주택 입주자 모집(온라인신청, 동호지정, 선계약후검증, 1인가구 신청가능)",전북특별자치도,2024.09.27,2024.10.08,접수마감
58873134.0,행복주택,증평창동 행복주택 입주자모집,충청북도,2024.09.27,2024.10.15,접수마감
58719379.0,공공임대,광주효천6(효천2지구 A-1블록) 10년 공공임대주택 예비입주자 모집(2024.09.27),광주광역시,2024.09.27,2024.10.08,접수마감
58718932.0,공공임대,나주빛가람 1단지(B9BL) 10년 공공임대주택 예비입주자 모집(2024.09.27),전라남도,2024.09.27,2024.10.08,접수마감
58861996.0,영구임대,옹진백령 영구임대(공공실버) 예비입주자 모집 공고,인천광역시,2024.09.27,2024.10.18,접수마감
58861660.0,영구임대,옹진백령 영구임대(마을정비형) 예비입주자 모집 공고,인천광역시,2024.09.27,2024.10.18,접수마감
58802401.0,영구임대,남해창선 누리타운 (영구임대주택) 예비입주자 모집('24.09.26.공고),경상남도,2024.09.26,2024.10.16,접수마감
58824999.0,행복주택,파주시 관내 중소기업체 근로자 기숙사용 건설임대주택 기업체 모집 공고,경기도,2024.09.25,2024.10.18,접수마감
58824989.0,행복주택,파주시 관내 중소기업체 근로자 기숙사용 건설임대주택 기업체 모집 공고,경기도,2024.09.25,2024.10.18,접수마감
58830362.0,국민임대,파주시 관내 중소기업체 근로자 기숙사용 건설임대 기업체 모집 공고,경기도,2024.09.25,2024.10.18,접수마감
58829780.0,국민임대,파주시 관내 중소기업체 근로자 기숙사용 건설임대 기업체 모집 공고,경기도,2024.09.25,2024.10.18,접수마감
58807429.0,행복주택,[정정공고]제주일도.삼도 행복주택 예비입주자 모집,제주특별자치도,2024.09.24,2024.10.08,접수마감
58790362.0,행복주택,[정정공고]울산다운2 A-6블록 행복주택 입주자격완화 입주자 모집,울산광역시,2024.09.23,2024.10.02,접수마감
58772483.0,국민임대,[정정공고](2024.09.13) 군산권 국민임대주택 예비입주자 모집 공고,전북특별자치도,2024.09.23,2024.10.02,접수마감
58941608.0,행복주택,대전상서 행복주택 입주자격완화 예비입주자 모집(2024.09.20),대전광역시,2024.09.20,2024.10.08,접수마감
58779117.0,행복주택,시흥정왕 1블록 행복주택 입주자모집,경기도,2024.09.20,2024.10.08,접수마감
58757750.0,행복주택,대전도마이편한세상포레나(행복주택) 입주자 모집공고(2024.09.20),대전광역시,2024.09.20,2024.10.02,접수마감
58769098.0,행복주택,울산다운2 A-6블록 행복주택 입주자격완화 입주자 모집,울산광역시,2024.09.20,2024.10.02,접수마감
58761076.0,행복주택,제주일도.삼도 행복주택 예비입주자 모집,제주특별자치도,2024.09.20,2024.10.08,접수마감
58758269.0,공공임대,대전구봉마을8-2단지 공임 50년 임대아파트 예비입주자 모집공고(24.09.20.),대전광역시,2024.09.20,2024.10.07,접수마감
58749658.0,행복주택,"[정정공고]구미시,김천시 행복주택 면적기준 완화 예비입주자 모집",경상북도,2024.09.19,2024.09.30,접수마감
58775220.0,국민임대,2024.09.13 울산광역시 국민임대주택 예비입주자모집(세대원수별 공급면적 완화),울산광역시,2024.09.19,2024.10.08,접수마감
58689830.0,공공임대,충주안림 천년나무 1단지/2단지 10년공공임대주택 예비입주자 모집 공고,충청북도,2024.09.13,2024.09.30,접수마감
58751804.0,행복주택,"(24.09.13)울산광역시 행복주택(남구,신정,송정1) 입주자격완화 예비입주자 모집",울산광역시,2024.09.13,2024.09.26,접수마감
58741097.0,행복주택,당진석문3단지 행복주택 예비입주자 모집공고,충청남도,2024.09.13,2024.09.30,접수마감
58903233.0,행복주택,양산권 행복주택 예비입주자 면적완화 모집('24.09.13),경상남도,2024.09.13,2024.10.11,접수마감
58718151.0,국민임대,홍성남장2 국민임대주택 면적완화 예비입주자 모집(공고일 2024.09.13.),충청남도,2024.09.13,2024.09.26,접수마감
58707536.0,국민임대,"충남도청RM6블럭, 홍성온누리 자격완화 입주자 모집공고",충청남도,2024.09.13,2024.10.02,접수마감
58707397.0,국민임대,"당진서산시태안군 자격완화 입주자 모집공고（당진석문1, 당진석문2, 서산아진, 서산푸른솔, 태안서린허브빌)",충청남도,2024.09.13,2024.09.30,접수마감
58698146.0,국민임대,"목포,무안,영암,강진,장흥,완도,해남지역 국민임대주택 예비입주자 모집(2024.09.13)",전라남도,2024.09.13,2024.09.27,접수마감
58698149.0,국민임대,"목포,무안,영암,강진,장흥,완도,해남지역 국민임대주택 예비입주자 모집(2024.09.13)",전라남도,2024.09.13,2024.09.27,접수마감
58698152.0,국민임대,"목포,무안,영암,강진,장흥,완도,해남지역 국민임대주택 예비입주자 모집(2024.09.13)",전라남도,2024.09.13,2024.09.27,접수마감
58683427.0,국민임대,보령시지역 국민임대주택 예비입주자 모집공고(2024.09.13),충청남도,2024.09.13,2024.09.26,접수마감
58683015.0,국민임대,금산군지역 국민임대주택 예비입주자 모집공고(2024.09.13),충청남도,2024.09.13,2024.09.30,접수마감
58672810.0,국민임대,"공주시 지역 국민임대주택 예비입주자 모집(공주덕성그린시티빌, 공주신한1차, 공주영우1차 : 2024.09.13)",충청남도,2024.09.13,2024.09.27,접수마감
58755792.0,국민임대,"정선신동, 태백소도, 태백장성 국민임대주택 예비입주자 모집(24.9.13공고)",강원특별자치도,2024.09.13,2024.09.30,접수마감
58617640.0,국민임대,공주신관6단지 국민임대주택 예비입주자 모집(공고일 : 24.09.13),충청남도,2024.09.13,2024.09.26,접수마감
58787399.0,국민임대,양산권 국민임대 예비입주자 면적완화 모집('24.09.13),경상남도,2024.09.13,2024.10.08,접수마감
58681807.0,국민임대,(자격완화) 천안아산 국민임대 예비입주자 통합정례 모집공고(2024.09.13),충청남도,2024.09.13,2024.09.26,접수마감
58681911.0,국민임대,(자격완화) 천안아산 국민임대 예비입주자 통합정례 모집공고(2024.09.13),충청남도,2024.09.13,2024.09.26,접수마감
58597976.0,국민임대,2024.9.13. 순천시·여수시·고흥군 국민임대주택 예비입주자 통합정례 모집,전라남도,2024.09.13,2024.09.26,접수마감
58743121.0,행복주택,"구미시,김천시 행복주택 면적기준 완화 예비입주자 모집",경상북도,2024.09.13,2024.09.30,접수마감
58854188.0,행복주택,철원동송2단지 행복마을권 행복주택 예비입주자 모집,강원특별자치도,2024.09.13,2024.10.08,접수마감
58744575.0,국민임대,김해시지역_김해장유2_국민임대주택 9월 예비입주자 모집 공고,경상남도,2024.09.13,2024.09.26,접수마감
58742050.0,국민임대,거제시_거제일운 국민임대주택 예비입주자 모집공고_면적완화(2024.09.13),경상남도,2024.09.13,2024.09.26,접수마감
58734275.0,국민임대,"창원시지역 진해청안그린빌,진해청안해오름 국민임대주택 예비입주자 모집공고(2024.09.13)",경상남도,2024.09.13,2024.09.26,접수마감
58734288.0,국민임대,"창원시지역 진해청안그린빌,진해청안해오름 국민임대주택 예비입주자 모집공고(2024.09.13)",경상남도,2024.09.13,2024.09.26,접수마감
58731513.0,국민임대,정읍상동2.3 국민임대주택 예비입주자 모집 공고,전북특별자치도,2024.09.13,2024.09.26,접수마감
58730558.0,국민임대,"경북서부지역(구미시,김천시)국민임대주택 면적기준 완화 예비자모집 공고",경상북도,2024.09.13,2024.09.27,접수마감
58708118.0,국민임대,(2024.09.13) 군산권 국민임대주택 예비입주자 모집 공고,전북특별자치도,2024.09.13,2024.10.02,접수마감
58705726.0,국민임대,(2024.09.13) 익산권 국민임대주택 예비입주자 모집 공고,전북특별자치도,2024.09.13,2024.09.30,접수마감
58715259.0,국민임대,"(2024.09.13) 전주시, 완주군 지역 국민임대주택 예비입주자 모집 공고",전북특별자치도,2024.09.13,2024.09.26,접수마감
58707780.0,국민임대,부산광역시 국민임대 예비입주자 모집(2024.09.13),부산광역시,2024.09.13,2024.09.30,접수마감
58685476.0,국민임대,창원시 국민임대주택 예비입주자(면적완화) 모집 공고('24.09.13),경상남도,2024.09.13,2024.09.27,접수마감
58740160.0,공공임대,[정정공고]평택시.안성시 지역 10년 공공임대주택(리츠) 예비입주자 모집공고(2024.9.12),경기도,2024.09.13,2024.09.27,접수마감
58730316.0,국민임대,담양군 국민임대주택 면적완화 예비입주자 모집(2024.09.13),전라남도,2024.09.13,2024.09.25,접수마감
58730250.0,국민임대,장성군 국민임대주택 면적완화 예비입주자 모집(2024.09.13),전라남도,2024.09.13,2024.09.25,접수마감
58706069.0,국민임대,김해시 국민임대 예비입주자 면적완화 모집공고('24.09.13),경상남도,2024.09.13,2024.09.26,접수마감
58699172.0,국민임대,청주시지역 국민임대주택 예비입주자 모집,충청북도,2024.09.13,2024.09.25,접수마감
58664676.0,국민임대,나주시 국민임대주택 통합정례 면적완화 예비입주자 모집(2024.09.13),전라남도,2024.09.13,2024.09.26,접수마감
58656972.0,국민임대,함평향교 국민임대주택 면적완화 예비입주자 모집공고(2024.09.13.),전라남도,2024.09.13,2024.09.24,접수마감
58657091.0,국민임대,영광도동 국민임대주택 면적완화 예비입주자 모집공고(2024.09.13.),전라남도,2024.09.13,2024.09.24,접수마감
58767236.0,국민임대,광주광역시 국민임대주택 면적완화 예비입주자 모집(2024.09.13),광주광역시,2024.09.13,2024.09.26,접수마감
58672293.0,국민임대,괴산군지역 국민임대주택 예비입주자 모집 공고(2024.09.13),충청북도,2024.09.13,2024.09.24,접수마감
58725831.0,행복주택,원주시지역 행복주택 예비입주자 모집,강원특별자치도,2024.09.13,2024.09.27,접수마감
58628273.0,국민임대,원주시지역 국민임대주택 예비입주자 모집,강원특별자치도,2024.09.13,2024.09.27,접수마감
58718667.0,국민임대,횡성읍하 국민임대주택 예비입주자 모집,강원특별자치도,2024.09.13,2024.09.27,접수마감
58646177.0,행복주택,철원철원 행복주택 추가입주자 모집,강원특별자치도,2024.09.13,2024.10.04,접수마감
58728819.0,국민임대,"구미도산휴먼시아 국민임대주택 면적기준 완화 예비입주자 모집(39,46,51형)",경상북도,2024.09.13,2024.09.26,접수마감
58723965.0,국민임대,춘천시지역 국민임대주택 예비입주자 모집(24.9.13),강원특별자치도,2024.09.13,2024.09.26,접수마감
58723810.0,국민임대,무주남대천단지 국민임대주택 예비입주자 모집 공고(2024.09.13.),전북특별자치도,2024.09.13,2024.09.25,접수마감
58745151.0,국민임대,"대구안심4단지 국민임대 면적기준 완화 예비입주자 모집 (39㎡,46㎡)",대구광역시,2024.09.13,2024.10.02,접수마감
58714287.0,국민임대,칠곡북삼휴먼시아 국민임대주택 면적기준 완화 예비입주자 모집(45형),경상북도,2024.09.13,2024.09.27,접수마감
58745203.0,국민임대,대구태전휴먼시아1단지 국민임대주택 면적기준 완화 예비입주자 모집(51형),대구광역시,2024.09.13,2024.10.15,접수마감
58708556.0,국민임대,칠곡왜관3단지 국민임대주택 면적기준 완화 예비입주자 모집 공고(59형),경상북도,2024.09.13,2024.09.26,접수마감
58744425.0,국민임대,구미도량2지구3단지 국민임대주택 면적기준 완화 예비입주자 모집,경상북도,2024.09.13,2024.09.30,접수마감
58716837.0,국민임대,하동읍내 국민임대 예비입주자 정례모집('24.09.13.),경상남도,2024.09.13,2024.09.24,접수마감
58696047.0,국민임대,칠곡왜관4단지 국민임대주택 면적기준 완화 예비입주자 모집(39형),경상북도,2024.09.13,2024.09.27,접수마감
58733163.0,국민임대,평창하진부 국민임대주택 예비입주자 모집공고 (2024.09.13),강원특별자치도,2024.09.13,2024.09.26,접수마감
58703676.0,공공임대,평택시.안성시 지역 10년 공공임대주택(리츠) 예비입주자 모집공고(2024.9.12),경기도,2024.09.12,2024.09.27,접수마감
58744774.0,국민임대,"강원영동지역[동해시,삼척시,정선군,태백시] 예비입주자 상시모집",강원특별자치도,2024.09.12,2025.09.30,공고중
58723513.0,행복주택,양주옥정 A-25BL 행복주택 26형 입주자격완화 동호지정 상시모집,경기도,2024.09.12,2024.10.02,접수마감
58684065.0,영구임대,통영안정 영구임대 예비입주자 입주자격 완화 모집('24.09.12.),경상남도,2024.09.12,2024.09.27,접수마감
58703703.0,국민임대,완주삼례2 국민임대주택 입주자격완화 예비자 모집 공고,전북특별자치도,2024.09.12,2024.09.24,접수마감
58665156.0,국민임대,완주봉동 2단지 국민임대주택 입주자격완화 예비자 모집 공고,전북특별자치도,2024.09.12,2024.09.23,접수마감
58665096.0,국민임대,완주봉동 1단지 국민임대주택 입주자격완화 예비자 모집 공고,전북특별자치도,2024.09.12,2024.09.23,접수마감
58616181.0,영구임대,익산부송1 증축 주거복지동 영구임대주택 예비입주자 모집 공고(공고일:2024.09.12.),전북특별자치도,2024.09.12,2024.09.27,접수마감
58692784.0,행복주택,당진우강송산A1 행복주택 입주자격완화 입주자 추가 모집,충청남도,2024.09.11,2024.09.26,접수마감
58686458.0,영구임대,시흥시 영구임대주택 예비입주자 모집('24.09.11.),경기도,2024.09.11,2024.10.14,접수마감
58693600.0,국민임대,영암용앙1 국민임대주택 입주자격 완화 입주자 및 예비입주자 모집(2024.09.11.),전라남도,2024.09.11,2024.09.24,접수마감
58704755.0,영구임대,"전주시(전주평화1, 전주평화4) 영구임대주택 예비입주자모집 공고(공고일:2024.09.11.)",전북특별자치도,2024.09.11,2024.09.27,접수마감
58686307.0,공공임대,[정정공고]부천옥길B1 10년분양전환공공임대주택 예비입주자모집공고,경기도,2024.09.10,2024.09.24,접수마감
58689059.0,행복주택,[정정공고]평택시 지역 행복주택 예비입주자 모집공고(2024.09.05),경기도,2024.09.10,2024.09.26,접수마감
58628581.0,영구임대,광주각화 영국임대주택 청년활동가 예비입주자 모집공고(공고일24.09.10),광주광역시,2024.09.10,2024.09.30,접수마감
58677211.0,공공임대,구미인의 50년 공공임대주택 예비입주자 모집,경상북도,2024.09.10,2024.09.24,접수마감
58515209.0,공공임대,인천부개5단지 50년공공임대주택 예비입주자 모집,인천광역시,2024.09.10,2024.09.24,접수마감
